,position,asin,sponsored,options,options_link,title,link,link_clean,thumbnail,rating,reviews,bought_last_month,price,extracted_price,old_price,extracted_old_price,specs,delivery,variants,badges,more_buying_choices,more_buying_choices_link,climate_pledge_friendly,sustainability_features,stock,offers,save_with_coupon,small_business,price_unit,extracted_price_unit,works_with_alexa,scrape_date
0,1,B0DW5Z3S2R,True,3 capacities,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNjEwNTQwNjQyMDM2ODU4OjE3NTM5ODk3NzM6c3BfYXRmOjMwMDY1Nzc2Njg3NzMwMjo6MDo6&url=%2FLenovo-Touchscreen-Microsoft-Included-Earphones%2Fdp%2FB0DW5Z3S2R%2Fref%3Dsr_1_1_sspa_vo_sr_l_dp%3Fdib%3DeyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1753989772%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Lenovo IdeaPad 15.6” FHD Touchscreen Laptop, 40GB RAM 2.5TB Storage (2TB SSD+512GB Docking Station Set), 6-Cores Intel Core i3, Windows 11 Pro with Microsoft Office Included, Plusera Earphones",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNjEwNTQwNjQyMDM2ODU4OjE3NTM5ODk3NzM6c3BfYXRmOjMwMDY1Nzc2Njg3NzMwMjo6MDo6&url=%2FLenovo-Touchscreen-Microsoft-Included-Earphones%2Fdp%2FB0DW5Z3S2R%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1753989772%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://www.amazon.com/dp/B0DW5Z3S2R/,https://m.media-amazon.com/images/I/71S+P-5tdpL._AC_UY218_.jpg,4.2,127.0,500+ bought in past month,$589.99,589.99,$689.99,689.99,"{'display_size': '15.6 inches', 'disk_size': '2.5 TB', 'ram': '40 GB', 'operating_system': 'Windows 11 Pro'}","['FREE delivery Sat, Aug 2']",,,,,,,,,,,,,,2025-08-01
1,2,B0F8PB2HNL,True,3 capacities,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNjEwNTQwNjQyMDM2ODU4OjE3NTM5ODk3NzM6c3BfYXRmOjMwMDc3NzQwMDI4MDUwMjo6MDo6&url=%2FLenovo-IdeaPad-Microsoft-Included-Earphones%2Fdp%2FB0F8PB2HNL%2Fref%3Dsr_1_2_sspa_vo_sr_l_dp%3Fdib%3DeyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1753989772%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Lenovo IdeaPad 15.6"" Laptop, 36GB RAM 2.6TB Storage (2TB SSD+128GB eMMC+512GB Docking Station), Windows 11 Pro with 1-Year Microsoft Office 365 Included, Intel Celeron N4500, PLUSERA Earphones",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNjEwNTQwNjQyMDM2ODU4OjE3NTM5ODk3NzM6c3BfYXRmOjMwMDc3NzQwMDI4MDUwMjo6MDo6&url=%2FLenovo-IdeaPad-Microsoft-Included-Earphones%2Fdp%2FB0F8PB2HNL%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1753989772%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://www.amazon.com/dp/B0F8PB2HNL/,https://m.media-amazon.com/images/I/61+HL6QmgLL._AC_UY218_.jpg,3.6,24.0,100+ bought in past month,$489.99,489.99,$549.99,549.99,"{'display_size': '15.6 inches', 'disk_size': '2.6 TB', 'ram': '36 GB', 'operating_system': 'Windows 11 Pro'}","['FREE delivery Sat, Aug 2']","{'more_variants': '+2 other colors/patterns', 'more_variants_link': 'https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNjEwNTQwNjQyMDM2ODU4OjE3NTM5ODk3NzM6c3BfYXRmOjMwMDc3NzQwMDI4MDUwMjo6MDo6&url=%2FLenovo-IdeaPad-Microsoft-Included-Earphones%2Fdp%2FB0F8PB2HNL%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1753989772%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1'}",,,,,,,,,,,,,2025-08-01
2,3,B0FFSPXRGN,,2 capacities,https://www.amazon.com/Expandable-Processor-Computer-Business-Students/dp/B0FFSPXRGN/ref=vo_sr_l_dp?dib=eyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8&dib_tag=se&keywords=laptop&qid=1753989772&sr=8-3,"15.6 Inch Laptop with Office 365, 4GB RAM, 128GB Storage Expandable 1TB, 5205U Processor, HD Display, Windows 11 Laptops Computer, Wi-Fi 5, BT4.2, Numpad, Type-C, for Business and Students.",https://www.amazon.com/Expandable-Processor-Computer-Business-Students/dp/B0FFSPXRGN/ref=sr_1_3?dib=eyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8&dib_tag=se&keywords=laptop&qid=1753989772&sr=8-3,https://www.amazon.com/Expandable-Processor-Computer-Business-Students/dp/B0FFSPXRGN/,https://m.media-amazon.com/images/I/71vwx59yoVL._AC_UY218_.jpg,5.0,33.0,500+ bought in past month,$209.99,209.99,$619.99,619.99,"{'display_size': '15.6 inches', 'disk_size': '128 GB', 'ram': '-', 'operating_system': 'Windows 11'}","['FREE delivery Aug 8 - 10', 'Or fastest delivery Fri, Aug 8']",,['Limited time deal'],,,,,,,,,,,,2025-08-01
3,4,B0DZDC3WW5,,3 capacities,https://www.amazon.com/Apple-2025-MacBook-13-inch-Laptop/dp/B0DZDC3WW5/ref=vo_sr_l_dp?dib=eyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8&dib_tag=se&keywords=laptop&qid=1753989772&sr=8-4,"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Sky Blue",https://www.amazon.com/Apple-2025-MacBook-13-inch-Laptop/dp/B0DZDC3WW5/ref=sr_1_4?dib=eyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8&dib_tag=se&keywords=laptop&qid=1753989772&sr=8-4,https://www.amazon.com/Apple-2025-MacBook-13-inch-Laptop/dp/B0DZDC3WW5/,https://m.media-amazon.com/images/I/712dp0yAydL._AC_UY218_.jpg,4.8,1474.0,10K+ bought in past month,$799.00,799.0,$999.00,999.0,"{'display_size': '13.6 inches', 'disk_size': '256 GB', 'ram': '16.00 GB', 'operating_system': 'Mac OS'}","['FREE delivery Tue, Aug 5', 'Or fastest delivery Tomorrow, Aug 1']","{'more_variants': '+3 other colors/patterns', 'more_variants_link': 'https://www.amazon.com/Apple-2025-MacBook-13-inch-Laptop/dp/B0DZDC3WW5/ref=cs_sr_dp?dib=eyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8&dib_tag=se&keywords=laptop&qid=1753989772&sr=8-4'}","['Overall Pick', 'Limited time deal']",$783.02 (5+ used & new offers),https://www.amazon.com/gp/offer-listing/B0DZDC3WW5/ref=sr_1_4_olp?keywords=laptop&dib_tag=se&dib=eyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8&qid=1753989772&sr=8-4,True,"[{'position': 1, 'name': 'Energy efficiency', 'snippet': 'Conserves energy compared to similar products.', 'thumbnail': 'https://m.media-amazon.com/images/I/21OXy0oJ8VL._SS200_.png', 'certified_by': 'EPEAT', 'certified_info': 'EPEAT certifies electronic products based on sustainability impacts across their lifecycle including requirements for energy efficiency and end of life management. An EPEAT registered product can also meet optional more ambitious criteria including reduction of fluorinated greenhouse gases (F-GHGs). Products meeting 50% - 74% optional criteria are ""Silver"" and those meeting 75% or more are “Gold"".'}]",,,,,,,,2025-08-01
4,5,B0947BJ67M,,,,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_5?dib=eyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8&dib_tag=se&keywords=laptop&qid=1753989772&sr=8-5,https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/,https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UY218_.jpg,4.1,3617.0,9K+ bought in past month,$173.50,173.5,$229.99,229.99,"{'display_size': '14 inches', 'disk_size': '64 GB', 'ram': '4 GB', 'operating_system': 'Windows 11 S'}","['FREE delivery Aug 22 - Sep 19', 'Or fastest delivery Aug 22 - Sep 17']",,,$130.00 (126+ used & new offers),https://www.amazon.com/gp/offer-listing/B0947BJ67M/ref=sr_1_5_olp?keywords=laptop&dib_tag=se&dib=eyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8&qid=1753989772&sr=8-5,,,Only 1 left in stock - order soon.,,,,,,,2025-08-01
5,6,B0DZQCTH92,,,,"HP 15.6 inch Laptop, HD Touchscreen Display, AMD Ryzen 3 7320U, 8 GB RAM, 128 GB SSD, AMD Radeon Graphics, Windows 11 Home in S Mode, Natural Silver, 15- fc0099nr",https://www.amazon.com/HP-Touchscreen-Display-Graphics-fc0099nr/dp/B0DZQCTH92/ref=sr_1_6?dib=eyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8&dib_tag=se&keywords=laptop&qid=1753989772&sr=8-6,https://www.amazon.com/HP-Touchscreen-Display-Graphics-fc0099nr/dp/B0DZQCTH92/,https://m.media-amazon.com/images/I/71ho1gX+PgL._AC_UY218_.jpg,4.3,71.0,6K+ bought in past month,$299.99,299.99,$371.61,371.61,"{'display_size': '15.6 inches', 'disk_size': '128 GB', 'ram': '-', 'operating_system': 'Windows 11 Home'}","['FREE delivery Tue, Aug 5', 'Or fastest delivery Sat, Aug 2']",,,,,,,,,,,,,,2025-08-01
6,7,B0F8PDCWT3,True,,,Lenovo IdeaPad 1i Laptop with Microsoft 365 Home and Business • 12GB RAM • 1TB Cloud Storage and 256GB SSD • Intel Core • 15 Anti-Glare Screen • WiFi-6 • 11HR Battery • Windows 11 • w/o Earbuds,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNjEwNTQwNjQyMDM2ODU4OjE3NTM5ODk3NzM6c3BfbXRmOjMwMDg1ODgzMjMxNzUwMjo6MDo6&url=%2FLenovo-IdeaPad-Microsoft-Business-Anti-Glare%2Fdp%2FB0F8PDCWT3%2Fref%3Dsr_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1753989772%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://www.amazon.com/dp/B0F8PDCWT3/,https://m.media-amazon.com/images/I/714Fk915K1L._AC_UY218_.jpg,4.1,280.0,6K+ bought in past month,$279.99,279.99,$399.99,399.99,"{'display_size': '14 inches', 'disk_size': '256 GB', 'ram': '-', 'operating_system': 'Windows 11'}","['FREE delivery Sun, Aug 3', 'Or fastest delivery Sat, Aug 2']",,['Limited time deal'],,,,,,,,,,,,2025-08-01
7,8,B0D74GBJ1L,,5 capacities,https://www.amazon.com/Lenovo-IdeaPad-Display-Processor-Additional/dp/B0D74GBJ1L/ref=vo_sr_l_dp?dib=eyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8&dib_tag=se&keywords=laptop&qid=1753989772&sr=8-8,"Lenovo IdeaPad 1 Home Laptop, 15.6"" FHD Display, Intel Celeron Dual Core Processor, 12GB RAM, 384GB Storage(128GB eMMC + 256GB PCIe), 1 Yr Office 365, Wi-Fi 6, W11H, Additional 1 Yr ADP",https://www.amazon.com/Lenovo-IdeaPad-Display-Processor-Additional/dp/B0D74GBJ1L/ref=sr_1_8?dib=eyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8&dib_tag=se&keywords=laptop&qid=1753989772&sr=8-8,https://www.amazon.com/Lenovo-IdeaPad-Display-Processor-Additional/dp/B0D74GBJ1L/,https://m.media-amazon.com/images/I/61qP7lPA8nL._AC_UY218_.jpg,4.4,184.0,1K+ bought in past month,$299.00,299.0,$359.00,359.0,"{'display_size': '15.6 inches', 'disk_size': '-', 'ram': '12 GB', 'operating_system': 'Windows 11 Home'}",['FREE delivery Aug 5 - 6'],,,$239.97 (4+ used & new offers),https://www.amazon.com/gp/offer-listing/B0D74GBJ1L/ref=sr_1_8_olp?keywords=laptop&dib_tag=se&dib=eyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8&qid=1753989772&sr=8-8,,,Only 1 left in stock - order soon.,,,,,,,2025-08-01
8,9,B0CRDCW3Q3,,,,"ASUS 15.6” Vivobook Go Slim Laptop, Intel Dual Core N4500, 4GB RAM, 128GB SSD, Windows 11, Star Black, L510KA-ES04",https://www.amazon.com/ASUS-Vivobook-Celeron-Windows-L510KA-ES04/dp/B0CRDCW3Q3/ref=sr_1_9?dib=eyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8&dib_tag=se&keywords=laptop&qid=1753989772&sr=8-9,https://www.amazon.com/ASUS-Vivobook-Celeron-Windows-L510KA-ES04/dp/B0CRDCW3Q3/,https://m.media-amazon.com/images/I/61KZBt8QeGL._AC_UY218_.jpg,4.0,1523.0,500+ bought in past month,$179.99,179.99,$229.99,229.99,"{'display_size': '15.6 inches', 'disk_size': '-', 'ram': '4', 'operating_system': 'Windows 11 Home'}","['FREE delivery Tue, Aug 5', 'Or fastest delivery Sat, Aug 2']",,,$167.49 (7+ used & new offers),https://www.amazon.com/gp/offer-listing/B0CRDCW3Q3/ref=sr_1_9_olp?keywords=laptop&dib_tag=se&dib=eyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8&qid=1753989772&sr=8-9,,,,,,,,,,2025-08-01
9,10,B0D3JLHQ8K,,5 capacities,https://www.amazon.com/Lenovo-V15-Business-Display-Numeric/dp/B0D3JLHQ8K/ref=vo_sr_l_dp?dib=eyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8&dib_tag=se&keywords=laptop&qid=1753989772&sr=8-10,"Lenovo V-Series V15 Business Laptop, 15.6"" FHD Display, AMD Ryzen 7 7730U, 40GB RAM, 1TB SSD, Numeric Keypad, HDMI, RJ45, Webcam, Wi-Fi, Windows 11 Pro, Black",https://www.amazon.com/Lenovo-V15-Business-Display-Numeric/dp/B0D3JLHQ8K/ref=sr_1_10?dib=eyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8&dib_tag=se&keywords=laptop&qid=1753989772&sr=8-10,https://www.amazon.com/Lenovo-V15-Business-Display-Numeric/dp/B0D3JLHQ8K/,https://m.media-amazon.com/images/I/71TN6dLVcsL._AC_UY218_.jpg,4.3,354.0,1K+ bought in past month,$569.00,569.0,,,"{'display_size': '15.6 inches', 'disk_size': '1 TB', 'ram': '40 GB', 'operating_system': 'Windows 11 Pro'}","['FREE delivery Tue, Aug 5', 'Or fastest delivery Sat, Aug 2']",,,$567.00 (18 used & new offers),https://www.amazon.com/gp/offer-listing/B0D3JLHQ8K/ref=sr_1_10_olp?keywords=laptop&dib_tag=se&dib=eyJ2IjoiMSJ9.slVgJ_idk9SqoauFLy9a9YKY_3SbLfX4fjWdb_IQHJMFj2FqegI77sOcwBlH-dBngjDnclAToW-mMrOWo_MYiHbAb6ERlS7NmG4l2msKTGRm49pfxygAvXpu8dGBrZK_TzpWWaHNEFzNLw1_Ix81804vOXtHvN7tv-E544ISimIPvGTB37wv5cLEeDDW4Z4Z4w2K9LoJnz0bGJCVe6ASgC2RWrG2HIwMmr_W3lmfeZY.H4vh1Jd8OVFx0EBHA9tXZ8LzRo0K12ChbwD-L5UUOj8&qid=1753989772&sr=8-10,,,,,,,,,,2025-08-01
