,rating,reviews,extracted_price,asin,title,link_clean,thumbnail,delivery,scrape_date,display_size,ram,disk_size,operating_system
0,4.2,127.0,589.99,B0DW5Z3S2R,"Lenovo IdeaPad 15.6” FHD Touchscreen Laptop, 40GB RAM 2.5TB Storage (2TB SSD+512GB Docking Station Set), 6-Cores Intel Core i3, Windows 11 Pro with Microsoft Office Included, Plusera Earphones",https://www.amazon.com/dp/B0DW5Z3S2R/,https://m.media-amazon.com/images/I/71S+P-5tdpL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,40 GB,2.5 TB,Windows 11 Pro
1,3.6,24.0,489.99,B0F8PB2HNL,"Lenovo IdeaPad 15.6"" Laptop, 36GB RAM 2.6TB Storage (2TB SSD+128GB eMMC+512GB Docking Station), Windows 11 Pro with 1-Year Microsoft Office 365 Included, Intel Celeron N4500, PLUSERA Earphones",https://www.amazon.com/dp/B0F8PB2HNL/,https://m.media-amazon.com/images/I/61+HL6QmgLL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,36 GB,2.6 TB,Windows 11 Pro
2,5.0,33.0,209.99,B0FFSPXRGN,"15.6 Inch Laptop with Office 365, 4GB RAM, 128GB Storage Expandable 1TB, 5205U Processor, HD Display, Windows 11 Laptops Computer, Wi-Fi 5, BT4.2, Numpad, Type-C, for Business and Students.",https://www.amazon.com/Expandable-Processor-Computer-Business-Students/dp/B0FFSPXRGN/,https://m.media-amazon.com/images/I/71vwx59yoVL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,Info not available,128 GB,Windows 11
3,4.8,1474.0,799.0,B0DZDC3WW5,"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Sky Blue",https://www.amazon.com/Apple-2025-MacBook-13-inch-Laptop/dp/B0DZDC3WW5/,https://m.media-amazon.com/images/I/712dp0yAydL._AC_UY218_.jpg,FREE delivery,2025-08-01,13.6 inches,16.00 GB,256 GB,Mac OS
4,4.1,3617.0,173.5,B0947BJ67M,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/,https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UY218_.jpg,FREE delivery,2025-08-01,14 inches,4 GB,64 GB,Windows 11 S
5,4.3,71.0,299.99,B0DZQCTH92,"HP 15.6 inch Laptop, HD Touchscreen Display, AMD Ryzen 3 7320U, 8 GB RAM, 128 GB SSD, AMD Radeon Graphics, Windows 11 Home in S Mode, Natural Silver, 15- fc0099nr",https://www.amazon.com/HP-Touchscreen-Display-Graphics-fc0099nr/dp/B0DZQCTH92/,https://m.media-amazon.com/images/I/71ho1gX+PgL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,Info not available,128 GB,Windows 11 Home
6,4.1,280.0,279.99,B0F8PDCWT3,Lenovo IdeaPad 1i Laptop with Microsoft 365 Home and Business • 12GB RAM • 1TB Cloud Storage and 256GB SSD • Intel Core • 15 Anti-Glare Screen • WiFi-6 • 11HR Battery • Windows 11 • w/o Earbuds,https://www.amazon.com/dp/B0F8PDCWT3/,https://m.media-amazon.com/images/I/714Fk915K1L._AC_UY218_.jpg,FREE delivery,2025-08-01,14 inches,Info not available,256 GB,Windows 11
7,4.4,184.0,299.0,B0D74GBJ1L,"Lenovo IdeaPad 1 Home Laptop, 15.6"" FHD Display, Intel Celeron Dual Core Processor, 12GB RAM, 384GB Storage(128GB eMMC + 256GB PCIe), 1 Yr Office 365, Wi-Fi 6, W11H, Additional 1 Yr ADP",https://www.amazon.com/Lenovo-IdeaPad-Display-Processor-Additional/dp/B0D74GBJ1L/,https://m.media-amazon.com/images/I/61qP7lPA8nL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,12 GB,Info not available,Windows 11 Home
8,4.0,1523.0,179.99,B0CRDCW3Q3,"ASUS 15.6” Vivobook Go Slim Laptop, Intel Dual Core N4500, 4GB RAM, 128GB SSD, Windows 11, Star Black, L510KA-ES04",https://www.amazon.com/ASUS-Vivobook-Celeron-Windows-L510KA-ES04/dp/B0CRDCW3Q3/,https://m.media-amazon.com/images/I/61KZBt8QeGL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,4,Info not available,Windows 11 Home
9,4.3,354.0,569.0,B0D3JLHQ8K,"Lenovo V-Series V15 Business Laptop, 15.6"" FHD Display, AMD Ryzen 7 7730U, 40GB RAM, 1TB SSD, Numeric Keypad, HDMI, RJ45, Webcam, Wi-Fi, Windows 11 Pro, Black",https://www.amazon.com/Lenovo-V15-Business-Display-Numeric/dp/B0D3JLHQ8K/,https://m.media-amazon.com/images/I/71TN6dLVcsL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,40 GB,1 TB,Windows 11 Pro
10,5.0,10.0,134.0,B0F37M368B,"14"" Itel Laptop Computer- Intel Celeron N3350 (Dual-Core) | 4GB RAM | 256GB SSD | Ultra Slim Design | HDMI & USB 3.2 | 2.4G/5G WiFi | Webcam | for Home, Office & School",https://www.amazon.com/LETSUNG-Laptop-Computer-Celeron-Dual-Core/dp/B0F37M368B/,https://m.media-amazon.com/images/I/61BuGWCsX0L._AC_UY218_.jpg,FREE delivery,2025-08-01,14 inches,Info not available,256 GB,Windows
11,5.0,2.0,579.99,B0FFCZ3ZPV,"acer Aspire Premium Laptop Featuring Backlit Keyboard | Intel Core i7-1255U up to 4.7GHz | 16GB RAM - 512GB PCIe SSD | 15.6"" FHD Display | Advanced Wi-Fi 6 | Iris Xe Graphics | Webcam | Win11 Pro",https://www.amazon.com/dp/B0FFCZ3ZPV/,https://m.media-amazon.com/images/I/61xjbWVImXL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,16 GB,512 GB,Windows 11 Pro
