position,asin,sponsored,title,link,link_clean,serpapi_link,thumbnail,rating,reviews,bought_last_month,price,extracted_price,specs,delivery,badges,old_price,extracted_old_price,more_buying_choices,more_buying_choices_link,climate_pledge_friendly,sustainability_features,variants,options,options_link,offers,stock,save_with_coupon,customizable,no_featured_offers_available,small_business,scrape_date
1,B0FP1J2NGZ,True,"BLUEING 15.6"" Laptop Computer, Laptop with 16GB RAM 512B SSD, Gold 6500Y (Up to 3.4GHz), 1080P FHD IPS Display, Type-C, HDMI, USB3.2, WIFI, Bluetooth, Long Battery Life, Laptops for Business & Student",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDU3NzE0NzI0MjM0Njc6MTc3NzI1NTkyODpzcF9hdGY6MzAxMjU0MzQ5MDEwMjAyOjowOjo&url=%2FBLUEING-Computer-Display-Bluetooth-Business%2Fdp%2FB0FP1J2NGZ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1777255928%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://www.amazon.com/dp/B0FP1J2NGZ/,https://serpapi.com/search.json?amazon_domain=amazon.com&asin=B0FP1J2NGZ&device=desktop&engine=amazon_product,https://m.media-amazon.com/images/I/71QXt+DXSlL._AC_UY218_.jpg,4.0,59.0,100+ bought in past month,$289.99,289.99,"{'display_size': '15.6 inches', 'disk_size': '512 GB', 'ram': '-', 'operating_system': '11'}","['FREE delivery Fri, May 1', 'Or fastest delivery Wed, Apr 29']",,,,,,,,,,,,,,,,,2026-04-27
2,B0FY42H4N1,True,"HP 15.6"" Business Laptop Computer, Intel 10-core i5-1334U Processor, Windows 11 Laptop 16GB RAM 256GB SSD, Fingerprint Reader, Backlit Keyboard, NLY Earphones, Natural Silver",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDU3NzE0NzI0MjM0Njc6MTc3NzI1NTkyODpzcF9hdGY6MzAxMjM4MzA4OTQzNjAyOjowOjo&url=%2FHP-Business-Processor-Fingerprint-Earphones%2Fdp%2FB0FY42H4N1%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1777255928%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://www.amazon.com/dp/B0FY42H4N1/,https://serpapi.com/search.json?amazon_domain=amazon.com&asin=B0FY42H4N1&device=desktop&engine=amazon_product,https://m.media-amazon.com/images/I/71h+13SpYeL._AC_UY218_.jpg,,,,$639.99,639.99,"{'display_size': '15.6 inches', 'disk_size': '256 GB', 'ram': '16 GB', 'operating_system': 'Windows 11'}","['FREE delivery Wed, Apr 29']",,,,,,,,,,,,,,,,,2026-04-27
3,B0947BJ67M,,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_3?dib=eyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ&dib_tag=se&keywords=laptop&qid=1777255928&sr=8-3,https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/,https://serpapi.com/search.json?amazon_domain=amazon.com&asin=B0947BJ67M&device=desktop&engine=amazon_product,https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UY218_.jpg,4.0,5500.0,7K+ bought in past month,$190.00,190.0,"{'display_size': '14 inches', 'disk_size': '4 GB', 'ram': '4 GB', 'operating_system': 'Windows 11 S'}",['FREE delivery Apr 28 - 29'],['Overall Pick'],$229.99,229.99,$154.99 (58+ used & new offers),https://www.amazon.com/gp/offer-listing/B0947BJ67M/ref=sr_1_3_olp?keywords=laptop&dib_tag=se&dib=eyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ&qid=1777255928&sr=8-3,,,,,,,,,,,,2026-04-27
4,B09R6FNNS1,,"Dell 15 Laptop DC15250-15.6-inch FHD 120Hz Display, Intel Core 3 Processor 100U, 8GB DDR4 RAM, 512GB SSD, Intel UHD Graphics, Windows 11 Home, Onsite Service - Carbon Black",https://www.amazon.com/Dell-DC15250-15-6-inch-Display-Processor-Graphics/dp/B09R6FNNS1/ref=sr_1_4?dib=eyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ&dib_tag=se&keywords=laptop&qid=1777255928&sr=8-4,https://www.amazon.com/Dell-DC15250-15-6-inch-Display-Processor-Graphics/dp/B09R6FNNS1/,https://serpapi.com/search.json?amazon_domain=amazon.com&asin=B09R6FNNS1&device=desktop&engine=amazon_product,https://m.media-amazon.com/images/I/71d6CcN8Q5L._AC_UY218_.jpg,4.3,520.0,3K+ bought in past month,$349.99,349.99,"{'display_size': '15.6 inches', 'disk_size': '512 GB', 'ram': '8 GB', 'operating_system': 'Windows 11 Home'}","['FREE delivery Fri, May 1', 'Or fastest delivery Wed, Apr 29']",,$375.00,375.0,$244.10 (8+ used & new offers),https://www.amazon.com/gp/offer-listing/B09R6FNNS1/ref=sr_1_4_olp?keywords=laptop&dib_tag=se&dib=eyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ&qid=1777255928&sr=8-4,True,"[{'position': 1, 'name': 'Energy efficiency', 'snippet': 'Conserves energy compared to similar products.', 'thumbnail': 'https://m.media-amazon.com/images/I/51fOZQEb9mL._SS200_.png', 'certified_by': 'ENERGY STAR', 'certified_info': 'Products that earn the U.S. Environmental Protection Agency’s ENERGY STAR label are independently certified to use less energy than standard models, reducing carbon pollution associated with energy generation and lowering your energy bill. For more information, visit energystar.gov.'}]",,,,,,,,,,2026-04-27
5,B0GR6KJ72L,,"Apple 2026 MacBook Neo 13-inch Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Blush",https://www.amazon.com/Apple-2026-MacBook-13-inch-Laptop/dp/B0GR6KJ72L/ref=sr_1_5?dib=eyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ&dib_tag=se&keywords=laptop&qid=1777255928&sr=8-5,https://www.amazon.com/Apple-2026-MacBook-13-inch-Laptop/dp/B0GR6KJ72L/,https://serpapi.com/search.json?amazon_domain=amazon.com&asin=B0GR6KJ72L&device=desktop&engine=amazon_product,https://m.media-amazon.com/images/I/61MxIxzYvUL._AC_UY218_.jpg,4.7,243.0,3K+ bought in past month,$589.99,589.99,"{'display_size': '13 inches', 'disk_size': '256 GB', 'ram': '8 GB', 'operating_system': 'Mac OS'}","['FREE delivery Fri, May 1', 'Or fastest delivery Wed, Apr 29']",,,,,,,,"{'more_variants': '+3 other colors/patterns', 'more_variants_link': 'https://www.amazon.com/Apple-2026-MacBook-13-inch-Laptop/dp/B0GR6KJ72L/ref=cs_sr_dp_loc?dib=eyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ&dib_tag=se&keywords=laptop&qid=1777255928&sr=8-5'}",,,,,,,,,2026-04-27
6,B0GR1JTFP8,,"Apple 2026 MacBook Air 13-inch Laptop with M5 chip: Built for AI, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 512GB SSD, 12MP Center Stage Camera, Touch ID, Wi-Fi 7; Midnight",https://www.amazon.com/Apple-2026-MacBook-13-inch-Laptop/dp/B0GR1JTFP8/ref=sr_1_6?dib=eyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ&dib_tag=se&keywords=laptop&qid=1777255928&sr=8-6,https://www.amazon.com/Apple-2026-MacBook-13-inch-Laptop/dp/B0GR1JTFP8/,https://serpapi.com/search.json?amazon_domain=amazon.com&asin=B0GR1JTFP8&device=desktop&engine=amazon_product,https://m.media-amazon.com/images/I/71pkfQGcMKL._AC_UY218_.jpg,4.7,171.0,6K+ bought in past month,$949.99,949.99,"{'display_size': '13.6 inches', 'disk_size': '512 GB', 'ram': '16 GB', 'operating_system': 'Mac OS'}","['FREE delivery Fri, May 1', 'Or fastest delivery Wed, Apr 29']",,"$1,099.00",1099.0,$948.27 (7+ used & new offers),https://www.amazon.com/gp/offer-listing/B0GR1JTFP8/ref=sr_1_6_olp?keywords=laptop&dib_tag=se&dib=eyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ&qid=1777255928&sr=8-6,,,,3 capacities,https://www.amazon.com/Apple-2026-MacBook-13-inch-Laptop/dp/B0GR1JTFP8/ref=vo_sr_l_dp?dib=eyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ&dib_tag=se&keywords=laptop&qid=1777255928&sr=8-6,,,,,,,2026-04-27
7,B0GQT29LZH,True,"HP 17.3’’ Touchscreen Laptop Computer-Windows 11 for Business & Home Use, 8-Cores Intel i3-N305, 8GB RAM, 128GB eMMC, 720 HD Webcam, HDMI, Num Pad, Wi-Fi 6,",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDU3NzE0NzI0MjM0Njc6MTc3NzI1NTkyODpzcF9tdGY6MzAxMTkxMDcxNjM4NzAyOjowOjo&url=%2FHP-Touchscreen-Computer-Windows-Business-8-Cores%2Fdp%2FB0GQT29LZH%2Fref%3Dsr_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1777255928%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://www.amazon.com/dp/B0GQT29LZH/,https://serpapi.com/search.json?amazon_domain=amazon.com&asin=B0GQT29LZH&device=desktop&engine=amazon_product,https://m.media-amazon.com/images/I/61mSjn8mECL._AC_UY218_.jpg,,,,$499.00,499.0,"{'display_size': '17.3 inches', 'disk_size': '128 GB', 'ram': '-', 'operating_system': 'Windows 11 Home'}","['FREE delivery Thu, Apr 30', 'Or fastest delivery Wed, Apr 29']",,,,,,,,,3 capacities,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDU3NzE0NzI0MjM0Njc6MTc3NzI1NTkyODpzcF9tdGY6MzAxMTkxMDcxNjM4NzAyOjowOjo&url=%2FHP-Touchscreen-Computer-Windows-Business-8-Cores%2Fdp%2FB0GQT29LZH%2Fref%3Dsr_1_7_sspa_vo_sr_l_dp%3Fdib%3DeyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1777255928%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,['Save 5% at checkout'],,,,,,2026-04-27
8,B0GRVFY42Q,,"HP 15.6"" FHD Laptop 2026 Edition with Copilot AI, 16GB RAM, 512GB SSD, Intel Processor, Long Battery Life, Lightweight 3.64 lbs, Microsoft 365, Windows 11 for Students & Office, Type-RJ45 Cable",https://www.amazon.com/HP-Processor-Lightweight-Microsoft-Type-RJ45/dp/B0GRVFY42Q/ref=sr_1_8?dib=eyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ&dib_tag=se&keywords=laptop&qid=1777255928&sr=8-8,https://www.amazon.com/HP-Processor-Lightweight-Microsoft-Type-RJ45/dp/B0GRVFY42Q/,https://serpapi.com/search.json?amazon_domain=amazon.com&asin=B0GRVFY42Q&device=desktop&engine=amazon_product,https://m.media-amazon.com/images/I/71VneS53BYL._AC_UY218_.jpg,4.3,33.0,500+ bought in past month,$499.97,499.97,"{'display_size': '15.6 inches', 'disk_size': '512 GB', 'ram': '16 GB', 'operating_system': 'Windows 11 Home'}","['FREE delivery Thu, Apr 30', 'Or fastest delivery Wed, Apr 29']",['Limited time deal'],$799.00,799.0,$399.99 (2 used & new offers),https://www.amazon.com/gp/offer-listing/B0GRVFY42Q/ref=sr_1_8_olp?keywords=laptop&dib_tag=se&dib=eyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ&qid=1777255928&sr=8-8,,,,,,,,,,,,2026-04-27
9,B0GVXJV99Q,,"Dell 15 Touchscreen Laptop, Intel 10-Core i5-1334U (Beat i7-1250U) 15.6"" FHD IPS Anti-Glare Display Business Laptop, 20GB RAM & 512GB SSD, Lifetime Windows 11 Pro with AI Copilot",https://www.amazon.com/Dell-Touchscreen-i5-1334U-i7-1250U-Anti-Glare/dp/B0GVXJV99Q/ref=sr_1_9?dib=eyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ&dib_tag=se&keywords=laptop&qid=1777255928&sr=8-9,https://www.amazon.com/Dell-Touchscreen-i5-1334U-i7-1250U-Anti-Glare/dp/B0GVXJV99Q/,https://serpapi.com/search.json?amazon_domain=amazon.com&asin=B0GVXJV99Q&device=desktop&engine=amazon_product,https://m.media-amazon.com/images/I/71K6C2Z+ZQL._AC_UY218_.jpg,5.0,8.0,New on Amazon in past month,$580.00,580.0,"{'display_size': '15.6 inches', 'disk_size': '512 GB', 'ram': '20 GB', 'operating_system': 'Windows 11 Pro'}","['FREE delivery Wed, Apr 29']",['Save 47%'],"$1,099.99",1099.99,$489.99 (5 used & new offers),https://www.amazon.com/gp/offer-listing/B0GVXJV99Q/ref=sr_1_9_olp?keywords=laptop&dib_tag=se&dib=eyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ&qid=1777255928&sr=8-9,,,,,,,Lowest price in 30 days,,,,,2026-04-27
10,B0G8JZ6TN9,,"Dell 16 Laptop DC16256-16.0-inch 16:10 2K Touchscreen Display, AMD Ryzen AI 7 350 Processor, AMD Radeon Graphics, 32GB Memory, 1TB SSD, Windows 11 Home, Copilot+, Onsite Service, Platinum Silver",https://www.amazon.com/Dell-Laptop-DC16256-16-0-inch-Touchscreen-Processor/dp/B0G8JZ6TN9/ref=sr_1_10?dib=eyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ&dib_tag=se&keywords=laptop&qid=1777255928&sr=8-10,https://www.amazon.com/Dell-Laptop-DC16256-16-0-inch-Touchscreen-Processor/dp/B0G8JZ6TN9/,https://serpapi.com/search.json?amazon_domain=amazon.com&asin=B0G8JZ6TN9&device=desktop&engine=amazon_product,https://m.media-amazon.com/images/I/71caaFY18WL._AC_UY218_.jpg,4.5,30.0,500+ bought in past month,$829.99,829.99,"{'display_size': '16 inches', 'disk_size': '1 TB', 'ram': '32 GB', 'operating_system': 'Windows 11 Home'}","['FREE delivery Fri, May 1', 'Or fastest delivery Wed, Apr 29']",,,,$655.69 (3 used & new offers),https://www.amazon.com/gp/offer-listing/B0G8JZ6TN9/ref=sr_1_10_olp?keywords=laptop&dib_tag=se&dib=eyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ&qid=1777255928&sr=8-10,True,"[{'position': 1, 'name': 'Energy efficiency', 'snippet': 'Conserves energy compared to similar products.', 'thumbnail': 'https://m.media-amazon.com/images/I/51fOZQEb9mL._SS200_.png', 'certified_by': 'ENERGY STAR', 'certified_info': 'Products that earn the U.S. Environmental Protection Agency’s ENERGY STAR label are independently certified to use less energy than standard models, reducing carbon pollution associated with energy generation and lowering your energy bill. For more information, visit energystar.gov.'}]",,2 capacities,https://www.amazon.com/Dell-Laptop-DC16256-16-0-inch-Touchscreen-Processor/dp/B0G8JZ6TN9/ref=vo_sr_l_dp?dib=eyJ2IjoiMSJ9.0-2E4Yhde2eFnn2EBHmUmhfCedppXsIIM886jCyl9vK0AGPoKijIN8Sc1SUQPP2c-gr6fwypVt5tmBpE6rGVOZViEGeGDzSUVZCHm-TzEsopNdROgpgBX3G7aPR7g3AaxdlFrnl3_bEMZmWisZ7gNvRkp8bdi9kDOPE_boqHUlwkvNgZr1LPi2_C2zLDaJdKUxBlK2ScLHzIVHr_ov33lwpQpC5K0D2YyKLkfcx7SAU.k-QVSupj55PyAdc8qusWjWKztey0hlH9tVusMA4ukXQ&dib_tag=se&keywords=laptop&qid=1777255928&sr=8-10,,,,,,,2026-04-27
