,rating,reviews,extracted_price,asin,title,link_clean,thumbnail,delivery,scrape_date,display_size,ram,disk_size,operating_system
0,4.0,5200.0,185.0,B0947BJ67M,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/,https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UY218_.jpg,FREE delivery,2026-03-23,14.00 inches,4 GB,4 GB,Windows 11 S
1,4.8,2500.0,949.0,B0DZDBWM5B,"Apple 2025 MacBook Air 15-inch Laptop with M4 chip: Built for Apple Intelligence, 15.3-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Sky Blue",https://www.amazon.com/Apple-2025-MacBook-15-inch-Laptop/dp/B0DZDBWM5B/,https://m.media-amazon.com/images/I/71FsB1FaZ7L._AC_UY218_.jpg,FREE delivery,2026-03-23,15.3 inches,16 GB,256 GB,Mac OS
2,4.2,170.0,299.99,B0G4B33S9P,"HP Business Laptop with Microsoft Office 365, 1TB OneDrive and 128GB SSD, 8GB RAM, 4-Core Intel 13th Gen Processor | No Mouse, Fast Response, Long Battery Life, Good Value",https://www.amazon.com/HP-Business-Microsoft-OneDrive-Processor/dp/B0G4B33S9P/,https://m.media-amazon.com/images/I/61bU4BhnSKL._AC_UY218_.jpg,FREE delivery,2026-03-23,14 inches,Info not available,256 GB,Windows 11 Home
3,4.3,427.0,349.98,B09R6FNNS1,"Dell 15 Laptop DC15250-15.6-inch FHD 120Hz Display, Intel Core 3 Processor 100U, 8GB DDR4 RAM, 512GB SSD, Intel UHD Graphics, Windows 11 Home, Onsite Service - Carbon Black",https://www.amazon.com/Dell-DC15250-15-6-inch-Display-Processor-Graphics/dp/B09R6FNNS1/,https://m.media-amazon.com/images/I/71d6CcN8Q5L._AC_UY218_.jpg,FREE delivery,2026-03-23,15.6 inches,8 GB,512 GB,Windows 11 Home
4,4.0,3.0,399.99,B0GC82TN9J,"Lenovo 2026 New V15 Laptop for Student & Business, Powerful AMD Ryzen 3 7320U (Beat i7-1065G7), 15.6 inch FHD, 16GB RAM, 256GB SSD, Ethernet Port RJ-45, Windows 11 Pro, Long Battery Life, No Mouse",https://www.amazon.com/Lenovo-V15-Business-Powerful-i7-1065G7/dp/B0GC82TN9J/,https://m.media-amazon.com/images/I/71PDgW2i+jL._AC_UY218_.jpg,FREE delivery,2026-03-23,15.6 inches,16 GB,256 GB,Windows 11 Pro
5,4.4,679.0,279.95,B0DT7FC9B7,"acer Aspire Go 15 AI Ready Laptop | 15.6"" FHD (1920 x 1080) IPS Display | Intel Core 3 Processor N355 | Intel Graphics | 8GB DDR5 | 128GB UFS | Wi-Fi 6 | Windows 11 Home in S Mode | AG15-32P-39R2",https://www.amazon.com/Display-Processor-Graphics-Windows-AG15-32P-39R2/dp/B0DT7FC9B7/,https://m.media-amazon.com/images/I/71H8XhwlwpL._AC_UY218_.jpg,FREE delivery,2026-03-23,15.6 inches,Info not available,128 GB,Windows 11 S
6,4.8,5.0,299.99,B0GD956T7X,"HP 15.6"" Business Laptop Computer with Microsoft 365 • 2026 Edition • Intel 4-Core N100 CPU • 1.1TB Storage (1TB OneDrive + 128GB SSD) • Windows 11 • w/o Mouse",https://www.amazon.com/HP-Business-Computer-Microsoft-OneDrive/dp/B0GD956T7X/,https://m.media-amazon.com/images/I/71Pf0HLeBrL._AC_UY218_.jpg,FREE delivery,2026-03-23,15.6 inches,4 GB,128 GB,Windows 11
7,5.0,3.0,297.0,B0FV4Q4SK5,"Lenovo IdeaPad 2025 Home 15 Laptop, FHD Anti-Glare Display, Intel 4-core CPU, 10HR Battery, Win11, 1Yr ADP + Office 365 with 1TB Cloud, 8GB RAM, 128GB Storage, w/Laptop Cooler",https://www.amazon.com/Lenovo-IdeaPad-Anti-Glare-Display-Battery/dp/B0FV4Q4SK5/,https://m.media-amazon.com/images/I/71zEoYPX-LL._AC_UY218_.jpg,FREE delivery,2026-03-23,15.6 inches,8 GB,128 GB,Windows 11 Home
8,5.0,7.0,379.98,B0GHSXHYK5,HP 15.6 Touchscreen Laptop Computer • 2026 Edition • Intel 13th Gen i3-1315U CPU • 8GB RAM • 256GB SSD • Windows 11 with Office 365 for The Web • w/o Mouse,https://www.amazon.com/HP-Touchscreen-Computer-i3-1315U-Windows/dp/B0GHSXHYK5/,https://m.media-amazon.com/images/I/713+AlynD8L._AC_UY218_.jpg,FREE delivery,2026-03-23,15.6 inches,Info not available,256 GB,Windows 11
9,4.3,396.0,269.97,B0G228KLHV,"HP Home and Student Essential Laptop with Microsoft 365-1.1TB Storage - 8GB RAM - Intel Inside | Anti-Glare Display, 64GB SSD and 1TB Cloud Storage, Fast Charge and 12hrs Battery, no Mouse",https://www.amazon.com/HP-Student-Essential-Microsoft-365-1-1TB/dp/B0G228KLHV/,https://m.media-amazon.com/images/I/71xTwcYJoCL._AC_UY218_.jpg,FREE delivery,2026-03-23,14 inches,Info not available,64 GB,Windows 11
